MÃ,TÊN CÔNG TY,NGÀNH,NĂM,ROA,ROE,LỢI NHUẬN BIÊN,NỢ / VỐN CHỦ SỞ HỮU,NỢ / TỔNG TÀI SẢN,EBIT/TỔNG TÀI SẢN,CURRENT RATIO,CASH RATIO,EQUITY / TỔNG TÀI SẢN,TỶ LỆ VỐN CHỦ SỞ HỮU,VÒNG QUAY TỔNG TÀI SẢN,VÒNG QUAY PHẢI THU,KHẢ NĂNG THANH TOÁN LÃI VAY,DÒNG TIỀN / DOANH THU,TĂNG TRƯỞNG LNST,TĂNG TRƯỞNG DOANH THU,TĂNG TRƯỞNG TÀI SẢN,cluster_kmeans,Credit_Rating,financial_health
AAA,An Phát Bioplastics,Hóa chất,2021,0.032383452,0.059428005,0.099015788,0.835134964,0.455080951,0.055623728,1.631339671,0.605717595,0.544919049,0.544919049,1.313060082,7.320156434,3.671016807,0.033753068,0.144682724,0.769268222,0.168052584,0,A,Trung bình
AAA,An Phát Bioplastics,Hóa chất,2022,0.010864495,0.019006278,0.071041124,0.749393666,0.428373373,0.033436415,1.764787124,0.51239263,0.571626627,0.571626627,1.416314751,9.721152913,2.078387927,0.006350119,-0.638149647,0.163369798,0.078555767,2,AA,Khá
AAA,An Phát Bioplastics,Hóa chất,2023,0.026692733,0.051844486,0.087841547,0.942269647,0.48513843,0.048272299,1.520341886,0.651600601,0.51486157,0.51486157,1.089616569,10.47525739,2.935589855,0.207203018,1.636119709,-0.174540947,0.072955264,0,A,Trung bình
AAA,An Phát Bioplastics,Hóa chất,2024,0.022558155,0.049738384,0.116478848,1.204895903,0.54646385,0.041489414,1.59978338,0.600867887,0.45353615,0.45353615,0.929768963,7.299065613,3.575425304,0.054300598,0.003017749,0.012743425,0.186856155,4,BBB,Trung bình
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân & Gia dụng,2021,0.029503676,0.043086691,0.122452066,0.460383807,0.315248502,0.044261259,2.96645016,0.806525872,0.684751498,0.684751498,0.484506432,2.235814704,4.24859209,0.101759507,1.05247871,0.648125244,0.684209918,2,AA,Khá
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân & Gia dụng,2022,0.084511352,0.121709254,0.158858961,0.440152724,0.3056292,0.125014408,2.085859542,0.074327586,0.6943708,0.6943708,0.912838353,2.332233943,6.849029578,-0.247984782,2.089789628,1.032283648,0.078673455,2,AA,Khá
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân & Gia dụng,2023,-0.002438916,-0.00348573,0.078620344,0.429212654,0.300314059,0.029521381,2.053350789,0.009121402,0.699685941,0.699685941,0.592633447,1.435733795,1.278805034,0.069055378,-1.027705582,-0.376727897,-0.039968664,2,AA,Khá
AAT,Tập đoàn Tiên Sơn Thanh Hóa,Hàng cá nhân & Gia dụng,2024,-0.000337017,-0.000608569,0.094295591,0.805752823,0.44621435,0.008813611,2.386040046,0.063087163,0.55378565,0.55378565,0.440991606,1.553668193,1.003169147,-0.122411862,-0.819419767,-0.027566969,0.306819293,2,AA,Khá
AAV,Việt Tiên Sơn Địa ốc,Bất động sản,2021,0.030417615,0.037400057,0.101751088,0.229552552,0.186696007,0.042923177,4.0756483,0.016578107,0.813303993,0.813303993,0.504893991,0.788130016,12.98566928,-0.737453438,1.097972158,0.547454857,0.651318244,2,AA,Khá
AAV,Việt Tiên Sơn Địa ốc,Bất động sản,2022,0.003257169,0.004346262,0.080466678,0.334368137,0.250581626,0.012614558,3.416823028,0.011127897,0.749418374,0.749418374,0.459849529,0.682617235,2.040239815,-0.060329979,-0.883459358,-0.008762128,0.088334367,2,AA,Khá
